Bajaj Auto|bajajauto|BA10
Hero Motocorp|heromotocorp|HHM
TVS Motor|tvsmotorcompany|TVS
Endurance Techn|endurancetechnologies|ET01
Mah Scooters|maharashtrascooters|MS01
Atul Auto|atulauto|AA08
Scooters India|scootersindia|SI09
Majestic Auto|majesticauto|MA01
Kinetic Eng|kineticengineering|KE
LML|lml|LML
Maruti Suzuki|marutisuzukiindia|MS24
M&M;|mahindramahindra|MM
Hind Motors|hindustanmotors|HM
Tata Motors|tatamotors|TM03
Eicher Motors|eichermotors|EM
Ashok Leyland|ashokleyland|AL
Tata Motors (D)|tatamotorsdvr|TMD
Force Motors|forcemotors|FM01
SML Isuzu|smlisuzu|SM
Escorts|escorts|E
HMT|hmt|HMT
VST Tillers|vsttillerstractors|VST01
Motherson Sumi|mothersonsumisystems|MSS01
Bosch|bosch|B05
Exide Ind|exideindustries|EI
Amara Raja Batt|amararajabatteries|ARB
WABCO India|wabcoindia|WAB
Minda Ind|mindaindustries|MI4
Sundaram-Clayto|sundaramclayton|SC
Suprajit Eng|suprajitengineering|SE15
Minda Corp|mindacorporation|MC23
Rane Holdings|raneholdings|RH01
Jamna Auto|jamnaautoindustries|JAI
Federal-Mogul|federalmogulgoetze|FMG
Gabriel India|gabrielindia|GI02
Wheels|wheelsindia|WI11
JBM Auto|jbmauto|JBM03
Sona Koyo Stee|sonakoyosteeringsystems|SKS04
Automotive Axle|automotiveaxles|AA06
Lumax Inds|lumaxindustries|LI05
Banco Products|bancoproductsindia|BPI
Subros|subros|S07
LG Balakrishnan|lgbalakrishnanbrothers|LGB
Steel Str Wheel|steelstripswheels|SSW02
Sharda Motor|shardamotorindustries|SMI04
Rico Auto|ricoauto|RA04
Shanthi Gears|shanthigears|SG04
FIEM Ind|fiemindustries|FIE
ZF Steering Gea|zfsteeringgearindia|ZFS
India Nippon|indianipponelectricals|INE
Jay BharatMarut|jaybharatmaruti|JBM
Precision Camsh|precisioncamshafts|PC16
Munjal Showa|munjalshowa|MS
Pricol|pricol|P9
Lumax Auto Tech|lumaxautotechnologies|LAT01
The Hi-Tech Gea|thehitechgears|HTG
Rane Brake|ranebrakelinings|RBL01
Shivam Auto|shivamautotech|SA13
Rane Madras|ranemadras|RM08
GNA Axles|gnaaxles|A03
PPAP Automotive|ppapautomotive|PPP03
Setco Auto|setcoautomotive|SA14
Munjal Auto Ind|munjalautoindustries|MAI04
Auto Corp Goa|automobilecorporationgoa|ACG
Hind Composites|hindustancomposites|HC06
Bharat Seats|bharatseats|BS03
Harita Seating|haritaseatingsystems|HSS02
IST Ltd|ist|IST
UCAL Fuel|ucalfuelsystems|UFS
Amtek Auto|amtekauto|AA01
Enkei Wheels|enkeiwheelsindia|EWI
IP Rings|iprings|IPR
Rane Engine|raneenginevalves|REV
Talbros Auto|talbrosautomotivecomponents|TAC
Samkrg Pistons|samkrgpistonsrings|SPR01
Rajratan Global|rajratanglobalwire|RGW01
Sundaram Brake|sundarambrakelinings|SBL
Jay Ushin|jayushin|JU
JMT Auto|jmtauto|JMT02
Autoline Ind|autolineindustries|AI59
Talbros Eng|talbrosengineering|TE15
Triton Valves|tritonvalves|TV
Castex Tech|castextechnologies|AI49
Omax Autos|omaxautos|OA
Menon Pistons|menonpistons|MP18
Machino Plastic|machinoplastics|MP
Bharat Gears|bharatgears|BG01
Auto Stampings|automotivestampingsassemblies|ASA01
Porwal Auto|porwalautocomponents|PAC02
Frontier Spring|frontiersprings|FS02
Rasandik Engg|rasandikengineeringindustriesindia|REI02
Autolite India|autoliteindia|AI31
SAR Auto Prod|sarautoproducts|SAR
Raunaq Auto|raunaqautomotivecomponents|RAC
Remsons Ind|remsonsindustries|RI10
Guj Auto Gears|gujaratautomotivegears|GAG
Duncan Eng|duncanengineering|SD05
Spectra Ind|spectraindustries|SI33
Jagan Litech|jaganlitechlamps|JLL
ANG Industries|angindustries|ANG
PAE|pae|PAE05
Standard Batter|standardbatteries|SB07
Coventry Coil|conventrycoilomaticharyana|CCO
