Pidilite Ind|pidiliteindustries|PI11
UPL|upl|UP04
Tata Chemicals|tatachemicals|TC
Solar Ind|solarindustriesindia|SII04
Guj Flourochem|gujaratfluorochemicals|GF07
BASF|basfindia|BAS
Aarti Ind|aartiindustries|AI45
Himadri Special|himadrispecialitychemical|HCI01
Guj Alkali|gujaratalkalieschemicals|GAC01
Vinati Organics|vinatiorganics|VO01
Linde India|lindeindia|BOC
Navin Fluorine|navinfluorineinternational|NFI
S H Kelkar|shkelkarcompany|KC17
Phillips Carbon|phillipscarbonblack|PCB01
Guj Heavy Chem|gujaratheavychemicals|GHC
Deepak Nitrite|deepaknitrite|DN
GOCL Corp|goclcorporation|GOC01
IG Petro|igpetrochemicals|IGP
Thirumalai Chem|thirumalaichemicals|TC07
Balaji Amines|balajiamines|BA05
Fairchem Spec|fairchemspeciality|HKF
Elantas Beck|elantasbeckindia|EBI
Seya Industries|seyaindustries|SOC01
Grauer and Weil|grauerweilindia|GWI
Panama Petro|panamapetrochem|PP02
India Glycols|indiaglycols|IG
Camlin Fine|camlinfinesciences|CFC03
Oriental Carbon|orientalcarbonchemicals|OCC
Alkyl Amines|alkylamineschemicals|AAC
National Perox|nationalperoxide|NP03
Jayant Agro-Org|jayantagroorganics|JAO
Foseco India|fosecoindia|FI12
Vikas Ecotech|vikasecotech|VGO01
Excel|excelindustries|EI10
Shree Pushkar|shreepushkarchemicalsfertilisers|SPC03
Transpek|transpekindustry|TI15
Camphor and All|camphoralliedproducts|CAP
Sree Rayal Alk|sreerayalaseemaalkaliesalliedchemicals|SRA
Fineotex Chem|fineotexchemical|FC02
Punjab Chemical|punjabchemicalscropprotection|PCC03
Kesar Petro|kesarpetroproducts|KP04
Ganesh Benzo|ganeshbenzoplast|GB01
Premier Explo|premierexplosives|PE02
Andhra Petro|andhrapetro|AP09
Vishnu Chemical|vishnuchemicals|VC17
Kanoria Chem|kanoriachemicalsindustries|KCI01
Gulshan Poly|gulshanpolyols|GP9
Indo Amines|indoamines|IA
Amines Plast|aminesplasticizers|AP07
Pondy Oxides|pondyoxideschemicals|PO03
GeeCee Ventures|geeceeventures|GCI05
Sree Rayalaseem|sreerayalaseemahistrengthhyp|SRH03
Chembond Chem|chembondchemicals|CC03
Dai-Ichi Karkar|daiichikarkaria|DIK
Dharamsi Morarj|dharamsimorarjichemicalcompany|DMC01
Vikas WSP|vikaswsp|VWS
Sunshield Chem|sunshieldchemicals|SC28
Nitta Gelatin|nittagelatinindia|NGI04
Hind Org Chem|hindustanorganicchemicals|HOC
Valiant Organic|valiantorganics|VO03
Vinyl Chemicals|vinylchemicalsindia|VCI02
Insilco|insilco|I04
Ram Minerals|rammineralschemicals|ICV02
Standard Ind|standardindustries|SI36
Indo Borax|indoboraxchemicals|IBC
Omkar Special|omkarspecialitychemicals|OSC01
Mangalam Organ|mangalamorganics|DP06
Tyche Ind|tycheindustries|TI30
Kilburn Chem|kilburnchemicals|KC
KELTECH Energ|keltechenergies|KEL03
Tanfac Ind|tanfacindustries|TI02
Lords Chloro|lordschloroalkali|LCA01
Kavit Ind|kavitindustries|JHP
Narmada Gelatin|narmadagelatines|NG02
Cochin Minerals|cochinmineralsrutile|CMR
Alufluoride|alufluoride|A01
India Gelatine|indiagelatinechemicals|IGC01
Mysore Petro|mysorepetrochemicals|MPC01
Alkali Metals|alkalimetals|AM11
Punj Alkalies|punjabalkalieschemicals|PAC01
Archit Organosy|shrichlochem|SCL07
Nikhil Adhesive|nikhiladhesives|NA01
Kanchi Karp|kanchikarpooram|KK01
Jayshree Chem|jayshreechemicals|JC03
Saboo Sodium|saboosodiumchloro|SSC
Ishan Dyes|ishandyeschemicals|IDC
Yash Chemex|yashchemex|YC01
Ashok Alco-Chem|ashokalcochem|AAC01
Resonance|resonancespecialities|RS20
Refex Ind|refexindustries|RR05
Avon Life|avonlifesciences|AO02
Haryana Leather|haryanaleatherchemicals|HLC01
National Oxygen|nationaloxygen|NO
Laffans Petro|laffanspetrochemicals|LP
Tuticorin Alkal|tuticorinalkalichemicalsfertilizers|TAC02
Emmessar Biotec|emmessarbiotechandnutrition|EBA
Pentokey Organy|pentokeyorganyindia|POI
Refnol Resin|refnolresin|RR02
Link Pharmachem|linkpharmachem|LP03
Unique Organics|uniqueorganics|UO02
Indo Euro|indoeuroindchem|RP15
Excel Castronic|excelcastronics|AG
Ritesh Intl|riteshinternational|RI13
Gagan Gases|gagangases|GG
Indian LinkChai|indianlinkchainmanufacturers|ILC
