Bhushan|bhushansteel|BS14
Pennar Inds|pennarindustries|PI28
Uttam Value|uttamvaluesteels|LSI
Mahamaya Steel|mahamayasteelindustries|MSI11
Steelco Gujarat|steelcogujarat|SG09
Rishabh Digha|rishabhdighasteelalliedproducts|RDS
Ruchi Strips|ruchistripsalloys|RSA
Jai Corp|jaicorp|JC08
Uttam Galva|uttamgalvasteel|UGS01
National Steel|nationalsteelagroindustries|NSA02
Metal Coatings|metalcoatingsindia|MCI03
Vardhman Ind|vardhmanindustries|VI04
Shree Precoated|shreeprecoatedsteels|SPS03
Tata Steel|tatasteel|TIS
JSW Steel|jswsteel|JSW01
SAIL|steelauthorityindia|SAI
Jindal (Hisar)|jindalstainlesshisar|JSH
Steel Exchange|steelexchangeindia|SEI02
Manaksia Steels|manaksiasteels|MS27
Visa Steel|visasteel|VS15
SVP Housing|mahabirmetallex|MM03
Pact Industries|pactindustries|PI41
Star Cement|starcement|SFC02
Jindal Stainles|jindalstainless|JSL01
Technocraft Ind|technocraftindustriesindia|TII01
Electrosteel St|electrosteelsteels|EI13
Mukand|mukand|M02
Beekay Steel|beekaysteelindustries|BSI07
Usha Martin|ushamartin|UM01
Balasore Alloys|balasorealloys|BA9
Bharat Wire Rop|bharatwireropes|BWR01
Vardhman Steels|vardhmanspecialsteels|VSS01
M.D. Inducto|mdinductocast|MIC
Kamdhenu|kamdhenu|KI24
Adhunik Ind|adhunikindustries|AI67
Rama Steel Tube|ramasteeltubes|RST
Shivalik Bimeta|shivalikbimetalcontrols|SBC01
Lloyds Steels|lloydssteelsindustries|LSI02
Manaksia Coated|manaksiacoatedmetalsindustries|MCM02
Panchmahal Stee|panchmahalsteels|PS07
India Steel|indiasteelworks|ISW
Raghav Producti|raghavrammingmass|RRM01
Supremex|icvlsteels|ICV01
Welcast Steels|welcaststeels|WS
Bedmutha Ind|bedmuthaindustries|BI05
Hisar Metal|hisarmetal|HM05
OCL Iron|oclironsteel|OCL03
SAL Steel|salsteel|SAL03
Shah Alloys|shahalloys|SA03
Rathi Bars|rathibars|RB02
Metkore Alloys|metkorealloysindustries|GMR02
Inducto Stl|inductosteel|IS07
Deepti Alloy|deeptialloysteel|DAS02
Shree Steel Wir|shreesteelwireropes|SSW
Ramsarup Ind|ramsarupindustries|RI36
Aditya Ispat|adityaispat|AI06
Ensa Steel|ensasteeldevelopers|ESD
Tata Metaliks|tatametaliks|TM
Srikalahasthi|srikalahasthipipes|LI03
Kirloskar Ferro|kirloskarferrousindustries|KFI01
Mideast Steels|mideastintegratedsteels|MIS
Satvahana Ispat|sathavahanaispat|SI07
Kalyani Steels|kalyanisteels|KS01
Sunflag Iron|sunflagironsteelcompany|SIS05
Manaksia|manaksia|M16
ISMT|ismt|ISM01
Splendid Metal|splendidmetalproduct|SMP01
Kanishk Steel|kanishksteelindustries|KSI01
Modern Steels|modernsteels|MS13
Surana Ind|suranaindustries|SI80
Shri Baj Alloys|shribajrangalloys|SBA
Ashiana Ispat|ashianaispat|AI25
Ahmedabad St|ahmedabadstellcr|AS02
Rathi Steel|rathisteelpower|RSP01
KIOCL|kiocl|KIO
Jindal Steel|jindalsteelpower|JSP
Sarda Energy|sardaenergyminerals|SEM
Tata Sponge|tataspongeiron|TSI
Godawari Power|godawaripowerispat|GPI7
MSP Steel|mspsteelpower|MSP
Monnet Ispat|monnetispat|MI16
Lloyds Metals|lloydsmetalsenergy|LME
Jai Balaji Ind|jaibalajiindustries|JBI
Gyscoal Alloys|gyscoalalloys|GA01
Scan Steels|scansteels|CFS05
Adhunik Metalik|adhunikmetaliks|AM9
Vaswani Ind|vaswaniindustries|VI14
Aanchal Ispat|aanchalispat|AI36
Ashirwad Steel|ashirwadsteelindustries|ASI
Bihar Sponge|biharspongeiron|BSI04
Unison Metals|unisonmetals|UM02
Ratnamani Metal|ratnamanimetalstubes|RMT
APL Apollo|aplapollotubes|BT09
Jindal Saw|jindalsaw|JS08
Welspun Corp|welspuncorp|WGS
Mah Seamless|maharashtraseamless|MS02
Surya Roshni|suryaroshni|SR01
Man Industries|manindustriesindia|MII
Gandhi Spl Tube|gandhispecialtubes|GST
Oil Country|oilcountrytubular|OCT
Good Luck|goodluckindia|GLS
JTL Infra|jtlinfra|JTL01
Suraj|suraj|SS54
RMG Alloy Steel|rmgalloysteel|RMG
PSL|psl|PSL
Remi Edelstahl|remiedelstahltubulars|RMI01
Tamil SteelTube|tamilnadusteeltubes|TST
Steel Str Infra|steelstripsinfrastructures|SSI14
